location_id,city,state/country,country,Population
HOU,Houston, TX,US,2027712.0
MIA,Miami, FL,US,382894.0
STL,St. Louis, MO,US,320916.0
SFO,San Francisco, CA,US,732072.0
HNL,Honolulu, HI,US,384241.0
PDX,Portland, OR,US,540513.0
DEN,Denver, CO,US,555981.0
MSP,Minneapolis, MN,US,367773.0
SAN,San Diego, CA,US,1287050.0
SAT,San Antonio, TX,US,1256810.0
SEA,Seattle, WA,US,569369.0
LAS,Las Vegas, NV,US,540111.0
PHL,Philadelphia, PA,US,1453268.0
DFW,Dallas, TX,US,1211704.0
LAX,Los Angeles, CA,US,3877129.0
ATL,Atlanta, GA,US,422908.0
CHI,Chicago, IL,US,2841952.0
NYC,New York City, NY,US,8107916.0
SAV,Savannah, GA,US,126119.0
SDF,Louisville, KY,US,243639.0
ORL,Orlando, FL,US,207970.0
AUS,Austin, TX,US,678368.0
BWI,Baltimore, MD,US,610892.0
COS,Colorado Springs, CO,US,373072.0
BOI,Boise, ID,US,228790.0
DTT,Detroit, MI,US,884941.0
BOS,Boston, MA,US,571281.0
HVN,New Haven, CT,US,124922.0
MSY,New Orleans, LA,US,459336.0
PHX,Phoenix, AZ,US,1428509.0
SLC,Salt Lake City, UT,US,178026.0
WAS,Washington DC, US,US,702433.0
OAK,Oakland, CA,US,394579.0
TPA,Tampa Bay, FL,US,324465.0
PIT,Pittsburgh, PA,US,319494.0
MKC,Kansas City, MO,US,442028.0
MKE,Milwaukee, WI,US,579180.0
CLE,Cleveland, OH,US,449514.0
LUK,Cincinnati, OH,US,306382.0
BNA,Nashville, TN,US,530852.0
MEM,Memphis, TN,US,641608.0
ANC,Anchorage, AL,US,276263.0
OKC,Oklahoma City, OK,US,532950.0
SJC,San Jose, CA,US,897460.0
JAX,Jacksonville, FL,US,797557.0
CLT,Charlotte, NC,US,598351.0
YTO,Toronto, CA,CA,4612187.0
YVR,Vancouver, CA,CA,1837970.0
YMQ,Montreal, CA,CA,3268513.0
YOW,Ottawa, CA,CA,874433.0
YYC,Calgary, CA,CA,968475.0
YEG,Edmonton, CA,CA,822319.0
YHZ,Halifax, CA,CA,266012.0
SAC,Sacramento, CA,US,467898.0
RIC,Richmond, VA,US,190886.0
ABQ,Albuquerque, NM,US,487378.0
SAF,Santa Fe, NM,US,69205.0
ELP,El Paso, TX,US,597181.0
OMA,Omaha, NE,US,413487.0
EWR,Newark, NJ,US,280123.0
PCT,Princeton, NJ,US,12945.0
FLL,Fort Lauderdale, FL,US,170510.0
RNO,Reno, NV,US,202142.0
BUF,Buffalo, NY,US,279557.0
IND,Indianapolis, IN,US,773283.0
BMG,Bloomington, IN,US,81383.0
JHM,Lahaina, HI,US,9319.0
LIT,Little Rock, AR,US,184217.0
MSN,Madison, WI,US,224625.0
FAT,Fresno, CA,US,465183.0
RDU,Raleigh, NC,US,338759.0
LHR,London, ENG,ENG,7421228.0
BFS,Belfast, IRE,IRE,585994.0
ESH,Brighton, ENG,ENG,139001.0
BRS,Bristol, ENG,ENG,430714.0
CWL,Cardiff, WLS,WLS,302142.0
EDI,Edinburgh, SCT,SCT,435794.0
GLA,Glasgow, SCT,SCT,610271.0
LBA,Leeds, ENG,ENG,455124.0
LPL,Liverpool, ENG,ENG,468946.0
MAN,Manchester, ENG,ENG,395516.0
CDG,Paris, FRA,FRA,2110694.0
MRS,Marseille, FRA,FRA,792823.0
TXL,Berlin, DEU,DEU,3398362.0
FRA,Frankfurt, DEU,DEU,648034.0
HAM,Hamburg, DEU,DEU,1733846.0
DUB,Dublin, IRE,IRE,1024027.0
MAD,Madrid, ESP,ESP,3102644.0
BCN,Barcelona, ESP,ESP,1570378.0
AMS,Amsterdam, NLD,NLD,745811.0
VCE,Venice, ITA,ITA,259126.0
ARN,Stockholm, SWE,SWE,1253309.0
ZRH,Zurich, CHE,CHE,346185.0
SDU,Rio de Janeiro, BRA,BRA,6023742.0
GRU,São Paulo, BRA,BRA,10021437.0
OSL,Oslo, NOR,NOR,808690.0
MXP,Milan, ITA,ITA,1156903.0
FCO,Rome, ITA,ITA,2643736.0
SJU,San Juan, PRI,PRI,418140.0
SIN,Singapore, SGP,SGP,3547809.0
PVD,Providence, RI,US,177595.0
HLN,Helena, MT,US,27340.0
ILG,Dover, DE,US,33286.0
CHS,Charleston, SC,US,104782.0
BTV,Burlington, VT,US,46921.0
CYS,Cheyenne, WY,US,55443.0
BDL,Hartford, CT,US,124019.0
BHM,Birmingham, AL,US,984336.0
FAR,Fargo, ND,US,92103.0
CMH,Columbus, OH,US,736836.0
APC,Napa, CA,US,77015.0
IOW,Iowa City, IA,US,64170.0
NCE,Nice, FRA,FRA,341621.0
LTT,Saint-Tropez, FRA,FRA,4305.0
MPL,Montpellier, FRA,FRA,238887.0
MUC,Munich, DEU,DEU,1246133.0
TRN,Turin, ITA,ITA,846489.0
FLR,Florence, ITA,ITA,347194.0
NAP,Naples, ITA,ITA,981284.0
PMO,Palermo, ITA,ITA,669582.0
GOA,Genoa, ITA,ITA,585815.0
BLQ,Bologna, ITA,ITA,367168.0
BRI,Bari, ITA,ITA,303049.0
CTA,Catania, ITA,ITA,307331.0
ORK,Cork, IRE,IRE,188908.0
SVQ,Seville, ESP,ESP,686647.0
ZAZ,Zaragoza, ESP,ESP,635509.0
LPA,Las Palmas, ESP,ESP,365418.0
BIO,Bilbao, ESP,ESP,349270.0
NCL,Newcastle, ENG,ENG,9333.0
GOT,Gothenburg, SWE,SWE,581822.0
EIN,Eindhoven, NLD,NLD,210498.0
LYS,Lyon, FRA,FRA,463700.0
TLS,Toulouse, FRA,FRA,411145.0
SXB,Strasbourg, FRA,FRA,273506.0
BOD,Bordeaux, FRA,FRA,219311.0
NTE,Nantes, FRA,FRA,284677.0
LIL,Lille, FRA,FRA,189746.0
RNS,Rennes, FRA,FRA,213334.0
BSB,Brasília, BRA,BRA,2207812.0
VLC,Valencia, ESP,ESP,769897.0
CGN,Cologne, DEU,DEU,968823.0
NUE,Nuremberg, DEU,DEU,497593.0
DTM,Dortmund, DEU,DEU,594255.0
STR,Stuttgart, DEU,DEU,591688.0
DUS,Düsseldorf, DEU,DEU,577139.0
BRE,Bremen, DEU,DEU,546429.0
GVA,Geneva, CHE,CHE,201818.0
BRN,Bern, CHE,CHE,123018.0
TUS,Tucson, ARI,US,545975.0
